Case 1: 2
Case 2: 2/9
Case 3: 0
Case 915: 4 4061686/5898292
Case 916: 10 701169/2212129
Case 917: 19 1001620/1490264
Case 918: 2 721906/6068117
Case 919: 10 268106/3218137
Case 920: 4 252841/3819509
Case 921: 7 3623349/4166393
Case 922: 3443903/3501605
Case 923: 389291/4319037
Case 924: 6 1209049/2245152
Case 925: 1 2200176/6461178
Case 926: 611462/2329372
Case 927: 2 868325/5838258
Case 928: 9 1258393/1802184
Case 929: 56 356726/484912
Case 930: 1 318053/716737
Case 931: 2063097/4760034
Case 932: 11 1225204/2639357
Case 933: 1 2076466/8281458
Case 934: 3 249839/6549873
Case 935: 77 43552/317406
Case 936: 2 3307750/3826410
Case 937: 751325/5275686
Case 938: 91 34357/65346
Case 939: 18 1244170/1543455
Case 940: 4 4151500/4777449
Case 941: 15 184197/2154979
Case 942: 2 4570296/7777431
Case 943: 1 5757658/6645263
Case 944: 1 3617708/6746076
Case 945: 4 5963534/6496786
Case 946: 6 118063/5504322
Case 947: 6 710020/958141
Case 948: 5 1606619/3845968
Case 949: 8 427606/1202984
Case 950: 4636443/6566145
Case 951: 1 6364281/8095889
Case 952: 24 343896/474707
Case 953: 18 738656/1024071
Case 954: 3 4382014/6592305
Case 955: 1 6951472/8016769
Case 956: 2639891/7184913
Case 957: 19 563328/1300424
Case 958: 4 2262977/4382732
Case 959: 2 5619221/6077410
Case 960: 3 1964403/7067483
Case 961: 78 317575/365562
Case 962: 1275547/2711805
Case 963: 1 1895522/5776856
Case 964: 2 1604868/6631205
Case 965: 6 534929/2414195
Case 966: 1250736/2228678
Case 967: 3 621686/1543490
Case 968: 19 914042/1443728
Case 969: 23 116088/1349168
Case 970: 6 615750/2341047
Case 971: 6 698961/2205338
Case 972: 3 2340617/4615067
Case 973: 1498446/6890414
Case 974: 5 2392899/2606252
Case 975: 2 4390677/7455691
Case 976: 8 1863594/2060271
Case 977: 1 3949493/5328457
Case 978: 3 4525383/5911990
Case 979: 4 2461800/5355332
Case 980: 14 79030/1438318
Case 981: 26 631965/637601
Case 982: 73 148474/243841
Case 983: 2 1742279/3443181
Case 984: 1 5219259/5818941
Case 985: 5 1456163/6086688
Case 986: 9 169203/901505
Case 987: 3 453540/6539206
Case 988: 5 3430610/5798238
Case 989: 1 154024/5164033
Case 990: 2 4998959/8311098
Case 991: 4 1457024/1808613
Case 992: 2 36828/8047216
Case 993: 2 1487610/7520833
Case 994: 4 5125154/6734873
Case 995: 7 261650/3969460
Case 996: 2 5529353/6617316
Case 997: 2584888/6413503
Case 998: 1 6592052/7445075
Case 999: 1 4651594/5782414
Case 1000: 6 627938/2058194
Case 1001: 2 3840523/8222225
Case 1002: 3 1594432/6929691
Case 1003: 2 4609547/5818785
Case 1004: 4 360226/435914
